instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
America Evangelical University,America Evangelical University,1818 South Western Avenue Suite 409,Los Angeles,-118.308661,34.041239,63,8649,,,,,,,,,4,
American Academy McAllister Institute of Funeral Service,American Academy McAllister Institute of Funeral Service,619 West 54th Street - 2nd Floor,New York,-73.993782,40.769031,49,17431,,,,,,,,,22,
American Academy of Acupuncture and Oriental Medicine,American Academy of Acupuncture and Oriental Medicine,1925 W County Rd B-2,Roseville,-93.181060,45.015332,,,,,,,,,,,,
American Academy of Art,American Academy of Art,332 S Michigan Ave,Chicago,-87.624788,41.877420,70,27125,,,,,,,,,9,
American Academy of Cosmetology,American Academy of Cosmetology,1330 Blanding Blvd Ste 125,Orange Park,-81.798803,30.123757,72,14622,,,,,,,,,15,
American Academy of Dramatic Arts-Los Angeles,American Academy of Dramatic Arts-Los Angeles,1336 North La Brea Avenue,Los Angeles,-118.343701,34.095378,98,40348,408,322,,,,,,,14,
American Academy of Dramatic Arts-New York,American Academy of Dramatic Arts-New York,120 Madison Ave,New York,-73.984843,40.745545,40,44437,338,283,,,,,,,8,
American Advanced Technicians Institute,American Advanced Technicians Institute,6801 W 20th St,Hialeah,-80.323025,25.884901,63,23446,,,,,,,,,28,
American Baptist College,American Baptist College,1800 Baptist World Ctr Dr,Nashville,-86.789912,36.202623,75,22447,,,,,,,,,9,
American Baptist Seminary of the West,American Baptist Seminary of the West,2606 Dwight Way,Berkeley,-122.256149,37.865252,,,,,,,,,,,,
American Barber Academy,American Barber Academy,110 Morgantown Road,Reading,-75.930347,40.322290,68,13674,,,,,,,,,14,
American Beauty Academy,American Beauty Academy,87 W 600 S,Payson,-111.733488,40.034634,55,9301,,,,,,,,,7,
American Beauty Academy-West Valley Campus,American Beauty Academy-West Valley Campus,3695 S Redwood Rd,West Valley City,-111.938189,40.692128,50,9181,,,,,,,,,2,
American Beauty College,American Beauty College,646 S. Sunset Ave,West Covina,-117.936959,34.069367,60,9061,,,,,,,,,25,
American Beauty School,American Beauty School,1380 Metropolitan Avenue,Bronx,-73.860639,40.835331,69,7782,,,,,,,,,19,
American Beauty Schools,American Beauty Schools,8100 Southwest 8th Street,Miami,-80.327707,25.761572,35,10378,,,,,,,,,23,
American Business and Technology University,American Business and Technology University,1018 W St Maartens Dr,St Joseph,-94.819797,39.779095,52,21610,,,,,,,,,14,
American Career College-Anaheim,American Career College-Anaheim,1200 N. Magnolia Ave.,Anaheim,-117.975599,33.849912,68,18613,,,,,,,,,34,
American Career College-Long Beach,American Career College-Long Beach,236 East 3rd Street,Long Beach,-118.190189,33.770254,,,,,,,,,,,,
American Career College-Los Angeles,American Career College-Los Angeles,4021 Rosewood Avenue,Los Angeles,-118.292481,34.079323,71,18722,,,,,,,,,42,
American Career College-Lynwood,American Career College-Lynwood,3680 E. Imperial Highway  5th Floor,Lynwood,-118.201182,33.931919,73,,,,,,,,,,,
American Career College-Ontario,American Career College-Ontario,3130 East Sedona Court,Ontario,-117.583814,34.068204,73,24569,,,,,,,,,37,
American College for Medical Careers,American College for Medical Careers,5959 Lake Ellenor Lake,Orlando,-81.402271,28.470997,71,14727,,,,,,,,,25,
American College of Acupuncture and Oriental Med,American College of Acupuncture and Oriental Med,9100 Park  West Drive,Houston,-95.524765,29.735747,,,,,,,,,,,,
American College of Barbering,American College of Barbering,11320 North Preston Highway,Louisville,-85.670147,38.084678,76,20459,,,,,,,,,20,
American College of Barbering - Florence,American College of Barbering - Florence,7901 Dream Street Suite #2,Florence,-84.641416,38.987675,,,,,,,,,,,,
American College of Education,American College of Education,101 West Ohio Street  Suite 1200,Indianapolis,-86.160161,39.769750,,,,,,,,,,,9,
American College of Financial Services,American College of Financial Services,270 S. Bryn Mawr Ave,Bryn Mawr,-75.327086,40.018349,2,,,,,,,,,,223,
American College of Hair Design Inc,American College of Hair Design Inc,125 Winchester Drive,Sedalia,-93.269026,38.711715,64,6744,,,,,,,,,7,
American College of Hairstyling-Des Moines,American College of Hairstyling-Des Moines,603 E Sixth St,Des Moines,-93.610159,41.592324,83,11405,,,,,,,,,8,
American College of Healthcare and Technology,American College of Healthcare and Technology,6606 Pacific Blvd Ste 204,Huntington Park,-118.224906,33.978807,94,21318,,,,,,,,,10,
American College of Healthcare and Technology,American College of Healthcare and Technology,11801 Pierce St.  Suite 100,Riverside,-117.493507,33.901581,90,17932,,,,,,,,,14,
American College of Healthcare Sciences,American College of Healthcare Sciences,5005 SW Macadam Ave,Portland,-122.675858,45.486902,57,,6,6,,,,,,,20,
American Conservatory Theater,American Conservatory Theater,30 Grant Ave,San Francisco,-122.404750,37.787343,8,28411,0,,,,,,,,6,
American Educational College,American Educational College,45 Santa Cruz Street,Bayamon,-66.150990,18.397931,,,,,,,,,,,,
American Film Institute Conservatory,American Film Institute Conservatory,2021 N Western Ave,Los Angeles,-118.310018,34.107670,,,,,,,,,,,,
American Hair Academy,American Hair Academy,304 South Iris,Mt. Pleasant,-91.524949,40.962643,57,8844,,,,,,,,,8,
American Indian OIC Inc,American Indian OIC Inc,1845 E. Franklin Ave,Minneapolis,-93.246155,44.961993,100,9523,,,,,,,,,9,
American Institute of Alternative Medicine,American Institute of Alternative Medicine,6685 Doubletree Ave,Columbus,-82.988733,40.102442,66,21027,50,40,,,,,,,17,
American Institute of Alternative Medicine,American Institute of Alternative Medicine,223 Rt. 18  Suite 205,East Brunswick,-74.392845,40.438155,6,,,,,,,,,,5,
American Institute of Beauty,American Institute of Beauty,3665 East Bay Drive Suite 164,Largo,-82.749094,27.915072,93,13290,,,,,,,,,10,
American Institute of Interior Design,American Institute of Interior Design,13014 N. Saguaro Blvd.  Suite 206,Fountain Hills,-111.715081,33.604860,32,15497,,,,,,,,,14,
American Institute of Massage Therapy,American Institute of Massage Therapy,1516 Brookhollow Drive  Unit C,Santa Ana,-117.848291,33.714880,49,16646,,,,,,,,,8,
American Institute of Medical Sciences & Education,American Institute of Medical Sciences & Education,4500 New Brunswick Ave,Piscataway,-74.437251,40.561140,34,,,,,,,,,,12,
American Institute of Medical Technology,American Institute of Medical Technology,10820 E 45th St Suite 100,Tulsa,-95.856621,36.098554,58,8889,,,,,,,,,30,
American Institute of Trucking,American Institute of Trucking,2350 S. 48th Avenue,Phoenix,-112.162577,33.426692,,,,,,,,,,,,
American Institute-Clifton,American Institute-Clifton,346 LEXINGTON AVE,CLIFTON,-74.130158,40.873516,76,14524,,,,,,,,,22,
American Institute-Somerset,American Institute-Somerset,80 Cottontail Lane,Somerset,-74.544122,40.550890,85,15351,,,,,,,,,16,
American Institute-Toms River,American Institute-Toms River,2363 Lakewood Rd,Toms River,-74.220894,40.044556,74,15613,,,,,,,,,23,
American Institute-West Hartford,American Institute-West Hartford,99 South Street,West Hartford,-72.725762,41.727016,70,16376,,,,,,,,,15,
American InterContinental University,American InterContinental University,231 N. Martingale Rd.  6th Floor,Schaumburg,-88.032424,42.033191,75,12036,,,,,,,,,38,
American InterContinental University-Atlanta,American InterContinental University-Atlanta,6600 Peachtree Dunwoody Road  500 Embassy Row,Atlanta,-84.354907,33.938779,78,15116,,,,,,,,,18,
American InterContinental University-Houston,American InterContinental University-Houston,9999 Richmond Avenue,Houston,-95.548302,29.728216,64,16133,,,,,,,,,21,
American International College,American International College,1000 State Street,Springfield,-72.558338,42.112346,97,21201,2411,1649,460,560,460,540,16,22,16,
American Islamic College,American Islamic College,640 W Irving Park RD,Chicago,-87.646898,41.954969,100,,,,,,,,,,2,
American Jewish University,American Jewish University,15600 Mulholland Dr,Los Angeles,-118.471706,34.128153,85,24954,25,24,,,,,,,7,
American Massage & Bodywork Institute,American Massage & Bodywork Institute,1593 Spring Hill Road,Vienna,-77.244736,38.926154,1,16827,,,,,,,,,11,
American Medical Academy,American Medical Academy,12215 SW 112 Street,Miami,-80.393361,25.662730,23,,,,,,,,,,6,
American Medical Sciences Center,American Medical Sciences Center,225 West Broadway  Suite 115,Glendale,-118.256991,34.147117,84,19346,,,,,,,,,9,
American Musical and Dramatic Academy,American Musical and Dramatic Academy,211 West 61st Street,New York,-73.987549,40.772275,91,43399,10653,2520,,,,,,,9,
American National University,American National University,1813 East Main Street,Salem,-80.023602,37.299743,67,20706,,,,,,,,,18,
American National University-Dayton,American National University-Dayton,1837 Woodman Center Dr,Kettering,-84.127340,39.701120,73,23928,,,,,,,,,,
American National University-Lexington,American National University-Lexington,2376 Sir Barton Way,Lexington,-84.421099,38.026996,50,20312,,,,,,,,,11,
American National University-Youngstown,American National University-Youngstown,3487 Belmont Ave,Youngstown,-80.663716,41.144001,74,28075,,,,,,,,,,
American Public University System,American Public University System,111 W Congress St,Charles Town,-77.860121,39.287826,89,10366,,,,,,,,,21,
American River College,American River College,4700 College Oak Dr,Sacramento,-121.349672,38.650850,53,,,,,,,,,,27,
American Samoa Community College,American Samoa Community College,P.O. Box 2609,PagoPago,-170.742774,-14.322636,75,,,,,,,,,,14,
American Sentinel University,American Sentinel University,2260 South Xanadu Way,Aurora,-104.831161,39.676610,9,,,,,,,,,,10,
American Technical Institute,American Technical Institute,Ave Castiglioni U-27  Bayamon Gardens,Bayamon,-66.177409,18.376070,100,3475,,,,,,,,,6,
American Trade School,American Trade School,3925 Industrial Drive,Saint Ann,-90.380141,38.728760,69,13368,,,,,,,,,13,
American University,American University,4400 Massachusetts Ave NW,Washington,-77.088875,38.936005,56,33034,18984,5988,630,700,590,680,27,31,12,
American University of Health Sciences,American University of Health Sciences,1600 East Hill St,Signal Hill,-118.171366,33.796849,96,12432,,,,,,,,,16,
American University of Puerto Rico,American University of Puerto Rico,Carr. #2  Km.14.4  Bo. Hato Tejas,Bayamon,-66.186631,18.407058,92,9946,,,,,,,,,15,
American University of Puerto Rico,American University of Puerto Rico,Carretera Estatal #2 Km.48.1,Manati,-66.478655,18.434072,89,9306,,,,,,,,,20,
AmeriTech College-Draper,AmeriTech College-Draper,12257 South Business Park Drive-Ste 100,Draper,-111.892792,40.527932,67,19626,119,81,,,,,,,15,
AmeriTech College-Provo,AmeriTech College-Provo,2035 North 550 West,Provo,-111.669276,40.261512,69,20597,21,17,,,,,,,4,
AMG School of Licensed Practical Nursing,AMG School of Licensed Practical Nursing,147 Prince Street,Brooklyn,-73.982035,40.692794,63,33882,,,,,,,,,15,
Amherst College,Amherst College,Boltwood Avenue,Amherst,-72.518493,42.372459,60,19275,9723,1246,660,750,670,780,31,34,7,
Amridge University,Amridge University,1200 Taylor Rd,Montgomery,-86.174010,32.362609,89,13104,,,,,,,,,12,
Amslee Institute,Amslee Institute,5391 Lakewood Ranch Blvd Ste 203,Sarasota,-82.433630,27.379792,0,,,,,,,,,,1,
Anabaptist Mennonite Biblical Seminary,Anabaptist Mennonite Biblical Seminary,3003 Benham Ave,Elkhart,-85.972165,41.656013,,,,,,,,,,,,
Ancilla College,Ancilla College,9601 S. Union Road,Donaldson,-86.445263,41.337958,89,14535,1296,897,410,500,400,510,15,20,12,
Anderson University,Anderson University,1100 E 5th St,Anderson,-85.664315,40.112768,94,23787,3834,2493,500,590,500,570,19,25,10,
Anderson University,Anderson University,316 Boulevard,Anderson,-82.640358,34.515200,86,21641,3325,2071,540,640,418,635,20,26,15,
Andover Newton Theological School,Andover Newton Theological School,1912 Massachusetts Avenue,Lexington,-72.921380,41.323386,,,,,,,,,,,,
Andrew College,Andrew College,501College St,Cuthbert,-84.795021,31.772321,93,23446,738,318,420,530,400,510,14,19,9,
Andrews University,Andrews University,4150 Administration Drive  Room 136,Berrien Springs,-86.355815,41.963859,78,21820,1445,947,540,660,500,640,21,27,10,
Angeles College,Angeles College,3440 Wilshire Blvd Ste 310,Los Angeles,-118.299030,34.061223,36,17314,,,,,,,,,20,
Angeles Institute,Angeles Institute,17100 PIONEER BLVD  SUITE 170,ARTESIA,-118.080741,33.875772,90,19413,,,,,,,,,10,
Angelina College,Angelina College,3500 South First,Lufkin,-94.731625,31.287444,9,,,,,,,,,,15,
Angelo State University,Angelo State University,2601 W. Avenue N,San Angelo,-100.465051,31.440914,60,,4200,3076,460,560,460,550,17,23,20,
Ann Webb Skin Institute,Ann Webb Skin Institute,11701 Jollyville Road,Austin,-97.751895,30.419687,27,18740,,,,,,,,,25,
Anna Maria College,Anna Maria College,50 Sunset Lane,Paxton,-71.918960,42.330542,91,25664,3177,2339,,,,,,,12,
Anne Arundel Community College,Anne Arundel Community College,101 College Pky,Arnold,-76.512223,39.049813,30,,,,,,,,,,17,
Annenberg School of Nursing,Annenberg School of Nursing,19300 Sherman Way,Reseda,-118.553851,34.200825,100,18658,0,,,,,,,,8,
Anoka Technical College,Anoka Technical College,1355 Highway 10 West,Anoka,-93.416087,45.216709,53,,,,,,,,,,17,
Anoka-Ramsey Community College,Anoka-Ramsey Community College,11200 Mississippi Blvd NW,Coon Rapids,-93.351697,45.172978,45,,,,,,,,,,28,
Another Level Barbering and Cosmetology School,Another Level Barbering and Cosmetology School,102 North Sycamore Street,Petersburg,-77.403817,37.228645,27,,,,,,,,,,8,
Anousheh School of Hair,Anousheh School of Hair,1152 Vestal Avenue,Binghamton,-75.917306,42.087554,6,26541,,,,,,,,,8,
Anson College of Cosmetology,Anson College of Cosmetology,1217 East Caswell Street,Wadesboro,-80.055083,34.963535,67,15913,,,,,,,,,20,
Antelope Valley College,Antelope Valley College,3041 West  Ave K,Lancaster,-118.186166,34.676207,78,,,,,,,,,,23,
Antilles School of Technical Careers,Antilles School of Technical Careers,Calle Cayey # 1911,San Juan,-66.059206,18.438416,88,3334,,,,,,,,,22,
Antioch College,Antioch College,1 Morgan Pl,Yellow Springs,-83.888077,39.799806,99,19047,134,112,575,670,490,680,26,31,4,
Antioch University Online,Antioch University Online,900 Dayton Street,Yellow Springs,-83.908684,39.803210,46,,,,,,,,,,13,
Antioch University-Los Angeles,Antioch University-Los Angeles,400 Corporate Pointe,Culver City,-118.384458,33.988533,45,,,,,,,,,,3,
Antioch University-Midwest,Antioch University-Midwest,900 Dayton St,Yellow Springs,-83.908684,39.803210,71,,,,,,,,,,3,
Antioch University-New England,Antioch University-New England,40 Avon St,Keene,-72.293798,42.932344,,,,,,,,,,,,
Antioch University-PhD Program in Leadership and Change,Antioch University-PhD Program in Leadership and Change,900 Dayton Street,Yellow Springs,-83.908684,39.803210,,,,,,,,,,,,
Antioch University-Santa Barbara,Antioch University-Santa Barbara,602 Anacapa Street,Santa Barbara,-119.695800,34.419203,42,,,,,,,,,,3,
Antioch University-Seattle,Antioch University-Seattle,2326 6th Ave,Seattle,-122.346318,47.615916,47,,,,,,,,,,4,
Antioch University-System Administration,Antioch University-System Administration,900 Dayton Street,Yellow Springs,-83.908684,39.803210,,,,,,,,,,,,
Antonelli College-Cincinnati,Antonelli College-Cincinnati,124 E Seventh St,Cincinnati,-84.510735,39.104312,97,19632,,,,,,,,,10,
Antonelli College-Hattiesburg,Antonelli College-Hattiesburg,1500 N 31st Ave,Hattiesburg,-89.335692,31.349549,93,21933,,,,,,,,,10,
Antonelli College-Jackson,Antonelli College-Jackson,2323 Lakeland Drive,Jackson,-90.122970,32.328918,97,21274,,,,,,,,,10,
AOMA Graduate School of Integrative Medicine,AOMA Graduate School of Integrative Medicine,4701 Westgate Blvd,Austin,-97.800643,30.228551,,,,,,,,,,,,
Aparicio-Levy Technical College,Aparicio-Levy Technical College,10119 East Ellicott Street,Tampa,-82.332285,27.990625,18,,,,,,,,,,17,
Apex Academy Hair Skin Nails School of Cosmetology,Apex Academy Hair Skin Nails School of Cosmetology,1788 West Fourth Street,Ontario,-82.577702,40.771672,33,8987,,,,,,,,,7,
Apex School of Theology,Apex School of Theology,1701 T.W. Alexander Drive,Durham,-78.841386,35.922645,90,10313,,,,,,,,,10,
Apex Technical School,Apex Technical School,24-02 Queens Plaza South,Long Island City,-73.941511,40.750430,66,15796,,,,,,,,,15,
Apollo Career Center,Apollo Career Center,3325 Shawnee Rd,Lima,-84.149151,40.692999,46,,,,,,,,,,6,
Appalachian Beauty School,Appalachian Beauty School,25429 US HWY 119N,Belfry,-82.266793,37.624479,91,12413,,,,,,,,,20,
Appalachian Bible College,Appalachian Bible College,161 College Drive,Mount Hope,-81.198867,37.853335,55,13705,126,57,480,595,430,535,18,23,9,
Appalachian College of Pharmacy,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,-82.006195,37.211629,,,,,,,,,,,,
Appalachian School of Law,Appalachian School of Law,1169 Edgewater Drive,Grundy,-82.095648,37.277669,,,,,,,,,,,,
Appalachian State University,Appalachian State University,287 Rivers St,Boone,-81.680583,36.215536,47,,16154,11221,560,640,540,630,23,28,16,
Applied Technology Services,Applied Technology Services,12721 West Watson Road,Sunset Hills,-90.413236,38.542285,86,,25,5,,,,,,,13,
Aquinas College,Aquinas College,1700 Fulton St. E,Grand Rapids,-85.628785,42.960190,90,18513,2171,1499,510,620,500,610,21,26,11,
Aquinas Institute of Theology,Aquinas Institute of Theology,23 S. Spring Ave.,Saint Louis,-90.237795,38.634329,,,,,,,,,,,,
Arapahoe Community College,Arapahoe Community College,5900 S. Santa Fe Dr.,Littleton,-105.018631,39.607505,15,,,,,,,,,,23,
Arcadia University,Arcadia University,450 S Easton Rd,Glenside,-75.163876,40.092606,84,28205,9243,5930,540,640,510,610,21,27,12,
Arclabs,Arclabs,2615 Highway 153  B-3,Piedmont,-82.461311,34.770720,65,19675,,,,,,,,,16,
Argosy University-Atlanta,Argosy University-Atlanta,980 Hammond Drive  Building 2  Suite 100,Atlanta,-84.355456,33.920309,75,19448,,,,,,,,,,
Argosy University-Chicago,Argosy University-Chicago,225 N. Michigan Ave  Ste 1300,Chicago,-87.623772,41.886006,71,15896,,,,,,,,,,
Argosy University-Dallas,Argosy University-Dallas,5001 Lyndon B. Johnson Freeway  Heritage Square  Suite 230,Farmers Branch,-96.823294,32.928188,71,,,,,,,,,,,
Argosy University-Denver,Argosy University-Denver,7600 East Eastman Avenue,Denver,-104.901822,39.656379,,,,,,,,,,,,
Argosy University-Hawaii,Argosy University-Hawaii,1001 Bishop Street  Suite 400,Honolulu,-157.860432,21.308906,85,17093,,,,,,,,,,
Argosy University-Inland Empire,Argosy University-Inland Empire,3401 Centre Lake Drive  Suite 200,Ontario,-117.578019,34.066571,,,,,,,,,,,,
Argosy University-Los Angeles,Argosy University-Los Angeles,5230 Pacific Concourse  Suite 200,Los Angeles,-118.373216,33.928280,73,15007,,,,,,,,,,
Argosy University-Nashville,Argosy University-Nashville,100 Centerview Dr  Suite 225,Nashville,-86.635403,36.154574,,,,,,,,,,,,
Argosy University-Northern Virginia,Argosy University-Northern Virginia,1550 Wilson Boulevard  Suite 600,Arlington,-77.075925,38.894264,60,,,,,,,,,,,
Argosy University-Orange County,Argosy University-Orange County,3601 West Sunflower Avenue,Santa Ana,-117.918302,33.696218,70,24461,,,,,,,,,,
Argosy University-Phoenix,Argosy University-Phoenix,13430 North Black Canyon Highway  Suite 190,Phoenix,-112.118849,33.605306,83,16555,,,,,,,,,,
Argosy University-Phoenix Online Division,Argosy University-Phoenix Online Division,1255 S. Spectrum Blvd,Chandler,-111.886020,33.286688,78,20834,,,,,,,,,,
Argosy University-Salt Lake City,Argosy University-Salt Lake City,121 Election Rd Ste 300,Draper,-111.893881,40.534393,80,,,,,,,,,,,
Argosy University-San Diego,Argosy University-San Diego,1615 Murray Canyon Road  Suite 100,San Diego,-117.157733,32.775344,,,,,,,,,,,,
Argosy University-San Francisco Bay Area,Argosy University-San Francisco Bay Area,1005 Atlantic Avenue,Alameda,-122.267523,37.781238,68,,,,,,,,,,,
Argosy University-Sarasota,Argosy University-Sarasota,5250 17th Street,Sarasota,-82.465363,27.351394,,,,,,,,,,,,
Argosy University-Schaumburg,Argosy University-Schaumburg,999 North Plaza Dr.  Suite 111,Schaumburg,-88.042085,42.046729,,,,,,,,,,,,
Argosy University-Seattle,Argosy University-Seattle,2601-A Elliott Avenue,Seattle,-122.351734,47.613924,,,,,,,,,,,,
Argosy University-Tampa,Argosy University-Tampa,1403 N. Howard Avenue,Tampa,-82.482545,27.955166,79,19128,,,,,,,,,,
Argosy University-The Art Institute of California-Hollywood,Argosy University-The Art Institute of California-Hollywood,5250 Lankershim Blvd,North Hollywood,-118.375280,34.166753,92,25143,,,,,,,,,,
