instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Allan Hancock College,Allan Hancock College,800 South College Drive,Santa Maria,-120.421144,34.943716,60,,,,,,,,,,22,
Allegany College of Maryland,Allegany College of Maryland,12401 Willowbrook Rd SE,Cumberland,-78.730398,39.652152,86,,,,,,,,,,13,
Allegheny College,Allegheny College,520 N Main St,Meadville,-80.147168,41.648690,99,25880,5479,3485,560,680,560,660,24,30,10,
Allegheny Wesleyan College,Allegheny Wesleyan College,2161 Woodsdale Rd,Salem,-80.861232,40.867220,100,8801,,,,,,,,,9,
Allen College,Allen College,1990 Heath St,Waterloo,-92.340148,42.530084,93,,0,,,,,,,,9,
Allen County Community College,Allen County Community College,1801 N Cottonwood,Iola,-95.396377,37.938038,39,,,,,,,,,,22,
Allen School-Brooklyn,Allen School-Brooklyn,188 Montague Street,Brooklyn,-73.991546,40.693797,92,23587,,,,,,,,,18,
Allen School-Jamaica,Allen School-Jamaica,163-18 Jamaica Avenue,Jamaica,-73.796295,40.704694,91,23697,,,,,,,,,17,
Allen School-Phoenix,Allen School-Phoenix,15650 North Black Canyon Highway  B210,Phoenix,-112.117430,33.629635,74,19043,,,,,,,,,17,
Allen University,Allen University,1530 Harden Street,Columbia,-81.020045,34.010348,95,14790,,,,,,,,,16,
Allgood Beauty Institute,Allgood Beauty Institute,9741 Preston Road Suite 106,Frisco,-96.804131,33.157310,90,19505,,,,,,,,,8,
Alliance Computing Solutions,Alliance Computing Solutions,3660 Main Street  4th Floor,Flushing,-73.831481,40.761560,96,14500,,,,,,,,,10,
Alliance Computing Solutions - NYC,Alliance Computing Solutions - NYC,545 8th Avenue Suite 1210,New York,-73.992169,40.754514,,,,,,,,,,,,
Alliant International University-San Diego,Alliant International University-San Diego,10455 Pomerado Road,San Diego,-117.094398,32.897056,9,25481,11,11,,,,,,,13,
Allied Health Careers Institute,Allied Health Careers Institute,1237 Commerce Park,Murfreesboro,-86.391495,35.827799,31,1319,,,,,,,,,15,
Allstate Hairstyling & Barber College,Allstate Hairstyling & Barber College,2546 Lorain Avenue,Cleveland,-81.704403,41.484002,97,8797,,,,,,,,,10,
Alma College,Alma College,614 W Superior,Alma,-84.672053,43.380040,97,22830,4765,3055,520,620,520,600,20,26,12,
Alpena Community College,Alpena Community College,665 Johnson St,Alpena,-83.445069,45.081647,80,,,,,,,,,,14,
Altierus Career College Everett,Altierus Career College Everett,906 SE Everett Mall Way  Ste 600,Everett,-122.220346,47.909363,,,,,,,,,,,,
Altierus Career College-Arlington,Altierus Career College-Arlington,300 Six Flags Drive,Arlington,-97.067567,32.743882,,,,,,,,,,,,
Altierus Career College-Atlanta West,Altierus Career College-Atlanta West,2841 Greenbriar Parkway  SW,Atlanta,-84.496587,33.689150,,,,,,,,,,,,
Altierus Career College-Austin,Altierus Career College-Austin,9100 US Hwy 290 East  Building 1  Suite 100,Austin,-97.655309,30.329633,,,,,,,,,,,,
Altierus Career College-Bissonnet,Altierus Career College-Bissonnet,9700 Bissonnet St-Ste 1400,Houston,-95.544702,29.677415,78,17604,,,,,,,,,24,
Altierus Career College-Chesapeake,Altierus Career College-Chesapeake,825 Greenbrier Circle Suite 100,Chesapeake,-76.229710,36.790463,,,,,,,,,,,,
Altierus Career College-Colorado Springs,Altierus Career College-Colorado Springs,1815 Jet Wing Drive,Colorado Springs,-104.740267,38.807095,,,,,,,,,,,,
Altierus Career College-Columbus,Altierus Career College-Columbus,4717 Hilton Corporate Drive,Columbus,-82.869207,39.934302,,,,,,,,,,,,
Altierus Career College-Fort Worth South,Altierus Career College-Fort Worth South,La Gran Plaza 4200 S FWY Suite 1940,Ft Worth,-97.325243,32.687914,,,,,,,,,,,,
Altierus Career College-Houston Hobby,Altierus Career College-Houston Hobby,7151 Office City Dr,Houston,-95.290472,29.700913,,,,,,,,,,,,
Altierus Career College-Norcross,Altierus Career College-Norcross,1750 Beaver Ruin Rd-Ste 500,Norcross,-84.155475,33.934121,83,16117,,,,,,,,,24,
Altierus Career College-Orange Park,Altierus Career College-Orange Park,805 Wells Rd,Orange Park,-81.706086,30.188775,,,,,,,,,,,,
Altierus Career College-San Antonio,Altierus Career College-San Antonio,6550 First Park Ten,San Antonio,-98.540701,29.488567,,,,,,,,,,,,
Altierus Career College-Tacoma,Altierus Career College-Tacoma,2156 Pacific Avenue,Tacoma,-122.436582,47.242855,,,,,,,,,,,,
Altierus Career College-Tampa,Altierus Career College-Tampa,3319 W Hillsborough Ave,Tampa,-82.497616,27.996582,84,20374,,,,,,,,,24,
Altierus Career College-Thornton,Altierus Career College-Thornton,9065 Grant St,Thornton,-104.985441,39.861560,68,,,,,,,,,,24,
Altierus Career College-Tigard,Altierus Career College-Tigard,9600 SW Oak St  Suite 400,Tigard,-122.775357,45.443736,,,,,,,,,,,,
Altierus Career College-Woodbridge,Altierus Career College-Woodbridge,14555 Potomac Mills Rd,Woodbridge,-77.295960,38.634767,,,,,,,,,,,,
Altierus Career Education-South Plainfield,Altierus Career Education-South Plainfield,5000 Hadley Road,South Plainfield,-74.425704,40.556003,,,,,,,,,,,,
Altierus Career Education-Southfield,Altierus Career Education-Southfield,21107 Lahser Road,Southfield,-83.261379,42.448286,,,,,,,,,,,,
Altoona Beauty School Inc,Altoona Beauty School Inc,1528 Valley View Blvd.,Altoona,-78.387852,40.501861,31,32604,,,,,,,,,8,
Alvernia University,Alvernia University,400 Saint Bernardine St,Reading,-75.936754,40.310028,84,26891,2628,1797,480,570,470,560,17,23,12,
Alverno College,Alverno College,3400 S 43rd  St,Milwaukee,-87.965174,42.982842,93,18284,728,508,,,,,,,10,
Alvin Community College,Alvin Community College,3110 Mustang Rd,Alvin,-95.240671,29.396244,23,,,,,,,,,,12,
Amarillo College,Amarillo College,2011 S. Washington,Amarillo,-101.846988,35.187839,46,,,,,,,,,,20,
Amberton University,Amberton University,1700 Eastgate Dr,Garland,-96.653020,32.859931,12,,,,,,,,,,17,
Ambiance Beauty & Barber Academy Inc,Ambiance Beauty & Barber Academy Inc,682 Wickham Road,Melbourne,-80.673575,28.117559,60,19026,,,,,,,,,10,
Ambria College of Nursing,Ambria College of Nursing,5210 Trillium Blvd,Hoffman Estates,-88.210900,42.075628,44,,,,,,,,,,6,
