,University,Address,City,Longitude,Latitude,Percent Receiving Financial Aid,Average Net Price,Total Applied,Total Admitted,SAT Reading/Writing 25th Percentile,SAT Reading/Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,Student-to-Faculty Ratio,Acceptance Rate,Academic Cluster,Academic Profile,Venue Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,Venue Profile
60,Belmont Abbey College,100 Belmont-Mt Holly Road,Belmont,-81.041315,35.260651,90.0,22731.0,2107.0,1681.0,480.0,600.0,470.0,580.0,19.0,24.0,17.0,79.78168011390603,1,Least Selective/Lower Scores,1,Pizza Place,Pharmacy,Gym,Gastropub,Coffee Shop,BBQ Joint,Fast Food Restaurant,Supermarket,Park,Sandwich Place,Fried Chicken Joint,Donut Shop,Grocery Store,Brewery,Discount Store,Outdoor Attractions
61,Belmont University,1900 Belmont Blvd,Nashville,-86.79480699999999,36.135589,73.0,36694.0,8210.0,6771.0,580.0,660.0,540.0,640.0,24.0,29.0,14.0,82.47259439707673,0,Less Selective/Medium Scores,1,Coffee Shop,Pizza Place,Fried Chicken Joint,Taco Place,Park,Ice Cream Shop,Burger Joint,Liquor Store,Gym / Fitness Center,BBQ Joint,Music Venue,Thai Restaurant,Yoga Studio,Gift Shop,Indie Movie Theater,Outdoor Attractions
62,Beloit College,700 College St,Beloit,-89.029285,42.504022,97.0,25980.0,4200.0,2369.0,570.0,670.0,550.0,690.0,21.0,29.0,10.0,56.404761904761905,0,Less Selective/Medium Scores,4,Bar,American Restaurant,Sandwich Place,Liquor Store,Pub,Hotel,Gym / Fitness Center,Ice Cream Shop,Italian Restaurant,Grocery Store,Mexican Restaurant,Diner,Dive Bar,Gym,Park,Pizza and Dessert
63,Benedictine College,1020 N 2nd St,Atchison,-95.111473,39.572646,90.0,24461.0,2444.0,2269.0,530.0,650.0,520.0,630.0,21.0,28.0,13.0,92.83960720130932,0,Less Selective/Medium Scores,2,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Sandwich Place,Gas Station,Ice Cream Shop,Big Box Store,Gym,Pharmacy,Discount Store,Park,Golf Course,History Museum,Pizza Place,Airport,Fast Food
64,Benedictine University,5700 College Rd,Lisle,-88.097307,41.777569,85.0,25508.0,5502.0,3457.0,490.0,598.0,490.0,590.0,20.0,25.0,15.0,62.831697564521996,1,Least Selective/Lower Scores,3,American Restaurant,Pizza Place,Mexican Restaurant,Coffee Shop,Garden,Breakfast Spot,Seafood Restaurant,Italian Restaurant,Grocery Store,Spa,German Restaurant,Brazilian Restaurant,Park,Bar,Gym,Variety of Cuisines
65,Bennett College,900 E Washington St,Greensboro,-79.77998000000001,36.067531,81.0,18392.0,3938.0,3794.0,410.0,520.0,390.0,480.0,14.0,20.0,11.0,96.34332148298628,2,Less Selective/Lowest Scores,1,Pizza Place,Brewery,Coffee Shop,Bar,Southern / Soul Food Restaurant,Park,Farmers Market,Thrift / Vintage Store,Gym,Bakery,Breakfast Spot,Baseball Stadium,Seafood Restaurant,Theater,Mexican Restaurant,Outdoor Attractions
66,Bentley University,175 Forest St,Waltham,-71.22283900000001,42.385995,66.0,38270.0,9252.0,3998.0,600.0,680.0,640.0,730.0,28.0,32.0,11.0,43.21227842628621,3,Most Selective/Highest Scores,0,Liquor Store,Italian Restaurant,American Restaurant,Trail,Bakery,Gym,Grocery Store,Mexican Restaurant,Sushi Restaurant,Romanian Restaurant,Sandwich Place,Bar,Gourmet Shop,Beer Store,Coffee Shop,Coffee and Casual
67,Berea College,101 Chestnut Street,Berea,-84.292893,37.57202,100.0,1196.0,1576.0,602.0,520.0,590.0,510.0,623.0,22.0,27.0,10.0,38.19796954314721,1,Least Selective/Lower Scores,2,Fast Food Restaurant,Pizza Place,Discount Store,Gas Station,Hotel,Sandwich Place,American Restaurant,Convenience Store,Mexican Restaurant,Salon / Barbershop,Pharmacy,BBQ Joint,ATM,Trail,Coffee Shop,Fast Food
68,Berry College,2277 Martha Berry Hwy NW,Mount Berry,-85.18920200000001,34.290414,99.0,24917.0,3970.0,2625.0,570.0,660.0,540.0,650.0,23.0,29.0,11.0,66.12090680100756,0,Less Selective/Medium Scores,3,Italian Restaurant,Fast Food Restaurant,Mexican Restaurant,BBQ Joint,Steakhouse,Bakery,Thai Restaurant,Sandwich Place,Coffee Shop,Pizza Place,Grocery Store,Baseball Stadium,Gym / Fitness Center,Bar,Supermarket,Variety of Cuisines
69,Bethany College,31 E Campus Dr,Bethany,-80.560056,40.205819,95.0,20075.0,1094.0,993.0,450.0,570.0,440.0,560.0,17.0,23.0,10.0,90.76782449725776,2,Less Selective/Lowest Scores,4,Discount Store,Construction & Landscaping,Pizza Place,Café,Coffee Shop,Sandwich Place,Convenience Store,Post Office,American Restaurant,Trail,IT Services,Fast Food Restaurant,Border Crossing,Playground,Mexican Restaurant,Pizza and Dessert
70,Bethany College,335 E Swensson St,Lindsborg,-97.67367,38.580597999999995,90.0,22583.0,1343.0,910.0,440.0,520.0,450.0,540.0,18.0,23.0,16.0,67.75874906924795,2,Less Selective/Lowest Scores,4,Discount Store,Construction & Landscaping,Pizza Place,Café,Coffee Shop,Sandwich Place,Convenience Store,Post Office,American Restaurant,Trail,IT Services,Fast Food Restaurant,Border Crossing,Playground,Mexican Restaurant,Pizza and Dessert
71,Bethany Lutheran College,700 Luther Dr,Mankato,-93.99080500000001,44.166649,84.0,17546.0,497.0,387.0,520.0,580.0,530.0,610.0,19.0,25.0,12.0,77.8672032193159,1,Least Selective/Lower Scores,1,Bar,Pizza Place,Ice Cream Shop,Park,American Restaurant,Convenience Store,Mediterranean Restaurant,Salon / Barbershop,Grocery Store,Mexican Restaurant,Juice Bar,Sushi Restaurant,Noodle House,Museum,Mobile Phone Shop,Outdoor Attractions
72,Bethel College-Indiana,1001 Bethel Circle,Mishawaka,-86.194686,41.678399,88.0,20247.0,1187.0,1096.0,490.0,590.0,480.0,580.0,19.0,25.0,12.0,92.33361415332772,1,Least Selective/Lower Scores,0,Park,Italian Restaurant,Hotel,Ice Cream Shop,American Restaurant,Bakery,Pizza Place,Seafood Restaurant,Grocery Store,Hot Dog Joint,Sandwich Place,Greek Restaurant,Thai Restaurant,Fast Food Restaurant,Bookstore,Coffee and Casual
73,Bethel College-North Newton,300 E 27th St,North Newton,-97.34325600000001,38.075169,92.0,22211.0,1093.0,482.0,468.0,563.0,453.0,585.0,18.0,24.0,9.0,44.09881061299177,1,Least Selective/Lower Scores,2,Pizza Place,Fast Food Restaurant,Grocery Store,Mexican Restaurant,Discount Store,Ice Cream Shop,Coffee Shop,Sandwich Place,Train Station,Gas Station,Pharmacy,Gym / Fitness Center,Taco Place,Bakery,Video Game Store,Fast Food
74,Bethel University,3900 Bethel Dr,Saint Paul,-93.161663,45.057655,89.0,27085.0,2184.0,1540.0,523.0,668.0,510.0,618.0,22.0,28.0,12.0,70.51282051282051,0,Less Selective/Medium Scores,3,Coffee Shop,Grocery Store,Mexican Restaurant,Pizza Place,Sandwich Place,Park,Hotel,Fast Food Restaurant,American Restaurant,Restaurant,Pharmacy,Brewery,Steakhouse,Discount Store,Fried Chicken Joint,Variety of Cuisines
75,Bethel University,325 Cherry Ave,McKenzie,-88.516762,36.137848,79.0,15018.0,1898.0,1262.0,400.0,550.0,420.0,522.0,16.0,25.0,17.0,66.49104320337197,2,Less Selective/Lowest Scores,3,Coffee Shop,Grocery Store,Mexican Restaurant,Pizza Place,Sandwich Place,Park,Hotel,Fast Food Restaurant,American Restaurant,Restaurant,Pharmacy,Brewery,Steakhouse,Discount Store,Fried Chicken Joint,Variety of Cuisines
76,Bethlehem College & Seminary,720 13th Avenue South,Minneapolis,-93.255399,44.968872,3.0,,37.0,33.0,620.0,700.0,560.0,650.0,21.0,26.0,9.0,89.1891891891892,0,Less Selective/Medium Scores,0,Theater,Liquor Store,Music Venue,Park,Sporting Goods Shop,New American Restaurant,Pizza Place,Event Space,Coffee Shop,Gym / Fitness Center,Baseball Stadium,Grocery Store,Museum,Eastern European Restaurant,Salon / Barbershop,Coffee and Casual
77,Binghamton University,4400 Vestal Parkway East,Vestal,-75.966889,42.087868,53.0,,38755.0,15429.0,650.0,710.0,660.0,730.0,28.0,32.0,19.0,39.81163720810218,3,Most Selective/Highest Scores,0,Diner,Café,Sandwich Place,Coffee Shop,Bar,New American Restaurant,Trail,Korean Restaurant,Park,Bagel Shop,Restaurant,Grocery Store,Paper / Office Supplies Store,Dive Bar,Hotel,Coffee and Casual
78,Biola University,13800 Biola Ave,La Mirada,-118.014374,33.906203000000005,99.0,32729.0,3792.0,2786.0,540.0,640.0,520.0,620.0,21.0,27.0,14.0,73.4704641350211,0,Less Selective/Medium Scores,3,Grocery Store,Pizza Place,Fast Food Restaurant,Mexican Restaurant,Park,Bakery,Café,Sandwich Place,Burger Joint,Japanese Restaurant,American Restaurant,Frozen Yogurt Shop,Korean Restaurant,Breakfast Spot,Coffee Shop,Variety of Cuisines
79,Birmingham Southern College,900 Arkadelphia Road,Birmingham,-86.85055200000001,33.513774,99.0,26863.0,3636.0,2060.0,520.0,620.0,520.0,600.0,23.0,29.0,12.0,56.65566556655666,1,Least Selective/Lower Scores,1,Coffee Shop,Theater,Fried Chicken Joint,Mexican Restaurant,Bar,Southern / Soul Food Restaurant,Park,Café,American Restaurant,Grocery Store,BBQ Joint,French Restaurant,Farmers Market,Music Venue,Science Museum,Outdoor Attractions
80,Black Hills State University,1200 University St,Spearfish,-103.87096600000001,44.494889,46.0,,1858.0,1641.0,490.0,600.0,468.0,580.0,18.0,24.0,18.0,88.32077502691065,1,Least Selective/Lower Scores,1,Pizza Place,Coffee Shop,Hotel,Chinese Restaurant,Ice Cream Shop,Trail,Steakhouse,Sandwich Place,Mexican Restaurant,Gas Station,Dessert Shop,Shipping Store,Grocery Store,Recreation Center,Brewery,Outdoor Attractions
81,Blackburn College,700 College Ave,Carlinville,-89.87024100000001,39.287896,98.0,16174.0,869.0,448.0,480.0,570.0,480.0,570.0,18.0,22.0,11.0,51.55350978135789,2,Less Selective/Lowest Scores,2,Pizza Place,Gas Station,Fast Food Restaurant,Mexican Restaurant,Pharmacy,Ice Cream Shop,Discount Store,Video Store,Italian Restaurant,Sandwich Place,Café,Big Box Store,Farm,Zoo Exhibit,Falafel Restaurant,Fast Food
82,Bloomfield College,467 Franklin St,Bloomfield,-74.19430899999999,40.795105,94.0,21989.0,3786.0,2295.0,430.0,530.0,430.0,530.0,16.0,19.0,14.0,60.61806656101426,2,Less Selective/Lowest Scores,0,Bakery,Café,American Restaurant,Thai Restaurant,Juice Bar,Italian Restaurant,Pizza Place,Park,Ice Cream Shop,Liquor Store,Bar,Farmers Market,Restaurant,Noodle House,Gym / Fitness Center,Coffee and Casual
83,Bloomsburg University of Pennsylvania,400 E Second St,Bloomsburg,-76.44784399999999,41.00782,56.0,,8748.0,6717.0,500.0,580.0,490.0,570.0,19.0,24.0,19.0,76.78326474622772,1,Least Selective/Lower Scores,0,Hotel,Italian Restaurant,Bagel Shop,Bar,Sandwich Place,Discount Store,Gym,Lingerie Store,Ice Cream Shop,Hardware Store,Brewery,Grocery Store,Spa,Bakery,Food Service,Coffee and Casual
84,Blue Mountain College,201 W Main St,Blue Mountain,-89.02924,34.672090000000004,95.0,12499.0,283.0,263.0,420.0,490.0,470.0,540.0,19.0,25.0,14.0,92.93286219081273,2,Less Selective/Lowest Scores,0,Sporting Goods Shop,Gas Station,Flea Market,Business Service,Falafel Restaurant,Festival,Fast Food Restaurant,Farmers Market,Farm,Zoo Exhibit,Filipino Restaurant,Fair,Fabric Shop,Eye Doctor,Exhibit,Coffee and Casual
85,Bluefield College,3000 College Avenue,Bluefield,-81.24623299999999,37.244557,89.0,21574.0,1143.0,1090.0,450.0,533.0,448.0,530.0,16.0,20.0,14.0,95.36307961504812,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Discount Store,Sandwich Place,Pharmacy,Supermarket,Italian Restaurant,Mexican Restaurant,Big Box Store,Hardware Store,Park,BBQ Joint,Salon / Barbershop,Gas Station,Fast Food
86,Bluefield State College,219 Rock St,Bluefield,-81.239037,37.265732,78.0,,604.0,571.0,460.0,550.0,460.0,570.0,17.0,21.0,12.0,94.5364238410596,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Ice Cream Shop,Sandwich Place,Pizza Place,Discount Store,Supermarket,Mexican Restaurant,Pharmacy,Video Game Store,Italian Restaurant,Outlet Store,Bakery,Park,Grocery Store,Scenic Lookout,Fast Food
87,Bluffton University,1 University Drive,Bluffton,-83.899439,40.895606,97.0,26294.0,2175.0,914.0,430.0,550.0,440.0,550.0,18.0,25.0,11.0,42.02298850574713,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Discount Store,Bank,Pharmacy,Gas Station,Mexican Restaurant,Video Store,Pizza Place,Sandwich Place,Fried Chicken Joint,Convenience Store,Bar,Café,Movie Theater,Post Office,Fast Food
88,Boise Bible College,8695 W Marigold St,Boise,-116.291321,43.658651,91.0,20173.0,26.0,24.0,500.0,630.0,480.0,540.0,19.0,23.0,12.0,92.3076923076923,1,Least Selective/Lower Scores,1,Brewery,Pizza Place,Sandwich Place,Coffee Shop,Mexican Restaurant,Burger Joint,Supermarket,Park,Fast Food Restaurant,Gym / Fitness Center,Greek Restaurant,American Restaurant,Sporting Goods Shop,Diner,Breakfast Spot,Outdoor Attractions
89,Boise State University,1910 University Dr,Boise,-116.203301,43.604284,46.0,,10789.0,8712.0,520.0,620.0,510.0,600.0,21.0,26.0,17.0,80.74891092779683,1,Least Selective/Lower Scores,1,Brewery,Coffee Shop,American Restaurant,Italian Restaurant,Ice Cream Shop,Breakfast Spot,Chinese Restaurant,Park,Bar,Grocery Store,Café,Performing Arts Venue,Science Museum,Bike Shop,Hotel Bar,Outdoor Attractions
90,Boston Baptist College,950 Metropolitan Ave,Boston,-71.1103,42.254037,73.0,17257.0,22.0,17.0,430.0,530.0,455.0,535.0,15.0,24.0,7.0,77.27272727272727,2,Less Selective/Lowest Scores,0,Italian Restaurant,Bar,Trail,Ice Cream Shop,Mexican Restaurant,Golf Course,Scenic Lookout,Greek Restaurant,Grocery Store,Café,Gym,Park,American Restaurant,Caribbean Restaurant,Ski Area,Coffee and Casual
91,Boston College,140 Commonwealth Avenue,Chestnut Hill,-71.16924200000001,42.336213,45.0,26567.0,31084.0,8669.0,650.0,720.0,670.0,770.0,31.0,34.0,13.0,27.88894608158538,3,Most Selective/Highest Scores,0,Ice Cream Shop,Pizza Place,Park,Burger Joint,Bakery,Gym,Sandwich Place,American Restaurant,Liquor Store,Comfort Food Restaurant,Trail,Rock Club,Gym / Fitness Center,Library,Grocery Store,Coffee and Casual
92,Boston University,One Silber Way,Boston,-71.10794200000001,42.351118,48.0,29154.0,64481.0,14247.0,650.0,720.0,680.0,780.0,30.0,33.0,10.0,22.094880662520744,3,Most Selective/Highest Scores,0,Bookstore,Sandwich Place,Salad Place,Vegetarian / Vegan Restaurant,Lounge,Trail,Seafood Restaurant,Japanese Restaurant,Bakery,Restaurant,Chinese Restaurant,Bubble Tea Shop,Park,Gym / Fitness Center,Furniture / Home Store,Coffee and Casual
93,Bowling Green State University-Main Campus,220 McFall Ctr,Bowling Green,-83.640896,41.375513,71.0,,17034.0,12311.0,440.0,550.0,440.0,550.0,19.0,24.0,17.0,72.27310085710931,2,Less Selective/Lowest Scores,1,Bar,Coffee Shop,Mexican Restaurant,Sandwich Place,Ice Cream Shop,Rest Area,Bakery,Fast Food Restaurant,American Restaurant,Park,Trail,Gym,Baseball Field,Golf Course,Bulgarian Restaurant,Outdoor Attractions
94,Bradley University,1501 W Bradley Ave,Peoria,-89.616786,40.696896,94.0,26084.0,11209.0,7489.0,550.0,640.0,540.0,650.0,23.0,28.0,12.0,66.81238290659292,0,Less Selective/Medium Scores,1,Bar,Brewery,Pub,Coffee Shop,Pizza Place,American Restaurant,Mexican Restaurant,Chinese Restaurant,Steakhouse,Breakfast Spot,Fast Food Restaurant,Farmers Market,Baseball Stadium,Grocery Store,Hotel,Outdoor Attractions
95,Brandeis University,415 South St,Waltham,-71.26015500000001,42.365727,59.0,39735.0,11798.0,3675.0,630.0,720.0,650.0,780.0,29.0,33.0,10.0,31.149347347007968,3,Most Selective/Highest Scores,0,Italian Restaurant,Mexican Restaurant,Grocery Store,Trail,Ice Cream Shop,Liquor Store,Breakfast Spot,Climbing Gym,Park,BBQ Joint,Gym / Fitness Center,Bakery,Gym,Bar,Plaza,Coffee and Casual
96,Brenau University,500 Washington Street SE,Gainesville,-83.821513,34.303117,82.0,22011.0,2674.0,1521.0,470.0,580.0,440.0,550.0,17.0,23.0,10.0,56.8810770381451,2,Less Selective/Lowest Scores,3,American Restaurant,Seafood Restaurant,Grocery Store,Pizza Place,Food Service,Italian Restaurant,Mexican Restaurant,Pharmacy,Gas Station,Coffee Shop,Restaurant,Sandwich Place,Fried Chicken Joint,Fast Food Restaurant,Lounge,Variety of Cuisines
97,Brescia University,717 Frederica St,Owensboro,-87.111639,37.769040999999994,59.0,13413.0,3865.0,1490.0,490.0,610.0,510.0,610.0,19.0,25.0,13.0,38.55109961190168,1,Least Selective/Lower Scores,3,Mexican Restaurant,Coffee Shop,Pizza Place,Park,Japanese Restaurant,Sandwich Place,Burger Joint,Fried Chicken Joint,Fast Food Restaurant,Steakhouse,BBQ Joint,Supermarket,Fabric Shop,Seafood Restaurant,Restaurant,Variety of Cuisines
98,Brewton-Parker College,201 David-Eliza Fountain Circle,Mount Vernon,-82.586136,32.185718,97.0,19681.0,342.0,331.0,450.0,535.0,410.0,520.0,15.0,19.0,15.0,96.78362573099415,2,Less Selective/Lowest Scores,4,Ice Cream Shop,Chinese Restaurant,Grocery Store,Sandwich Place,Discount Store,Zoo Exhibit,Fair,Farmers Market,Farm,Falafel Restaurant,Eye Doctor,Fabric Shop,Festival,Exhibit,Event Space,Pizza and Dessert
99,Bridgewater College,402 E College St,Bridgewater,-78.96900699999999,38.378484,99.0,20395.0,6360.0,4203.0,490.0,600.0,490.0,570.0,18.0,26.0,14.0,66.08490566037736,1,Least Selective/Lower Scores,4,Hotel,Convenience Store,Pizza Place,Sandwich Place,American Restaurant,Fast Food Restaurant,Park,Ice Cream Shop,Mexican Restaurant,Discount Store,Thrift / Vintage Store,Bookstore,Gas Station,Photography Studio,Grocery Store,Pizza and Dessert
100,Bridgewater State University,131 Summer Street,Bridgewater,-70.974553,41.98749,55.0,,6806.0,6135.0,500.0,580.0,490.0,570.0,19.0,25.0,19.0,90.14105201292976,1,Least Selective/Lower Scores,1,Coffee Shop,Ice Cream Shop,Italian Restaurant,Sushi Restaurant,Golf Course,Thai Restaurant,Bar,Gym / Fitness Center,Donut Shop,Diner,Pharmacy,Department Store,Grocery Store,Convenience Store,American Restaurant,Outdoor Attractions
101,Brigham Young University-Hawaii,55-220 Kulanui Street,Laie,-157.92658600000001,21.642073999999997,76.0,12871.0,2970.0,1330.0,553.0,640.0,530.0,610.0,21.0,26.0,17.0,44.78114478114478,1,Least Selective/Lower Scores,0,Theme Park Ride / Attraction,Food Truck,Beach,Grocery Store,Seafood Restaurant,Restaurant,BBQ Joint,Burger Joint,Surf Spot,Breakfast Spot,Diner,Farm,Sandwich Place,New American Restaurant,Taco Place,Coffee and Casual
102,Brigham Young University-Idaho,525 S Center,Rexburg,-111.782431,43.818408000000005,33.0,7555.0,9998.0,9715.0,510.0,620.0,500.0,590.0,20.0,26.0,22.0,97.16943388677736,1,Least Selective/Lower Scores,3,Ice Cream Shop,Burger Joint,Mexican Restaurant,Fast Food Restaurant,BBQ Joint,Gas Station,Pizza Place,American Restaurant,Bagel Shop,Bakery,College Communications Building,Student Center,Park,Multiplex,College Gym,Variety of Cuisines
103,Brigham Young University-Provo,Main Campus,Provo,-111.649281,40.250851000000004,73.0,13120.0,11205.0,7224.0,600.0,710.0,590.0,710.0,26.0,31.0,20.0,64.47121820615797,3,Most Selective/Highest Scores,3,Sandwich Place,Mexican Restaurant,Ice Cream Shop,American Restaurant,Fast Food Restaurant,Gym / Fitness Center,Pizza Place,Taco Place,Indian Restaurant,Golf Course,Rock Climbing Spot,Breakfast Spot,Latin American Restaurant,Trail,Mediterranean Restaurant,Variety of Cuisines
104,Brown University,One Prospect Street,Providence,-71.40385,41.82617,46.0,27238.0,35437.0,2718.0,700.0,760.0,720.0,790.0,32.0,35.0,6.0,7.6699494878234615,3,Most Selective/Highest Scores,1,Café,Bar,American Restaurant,Italian Restaurant,Coffee Shop,Theater,Seafood Restaurant,Pizza Place,Performing Arts Venue,Donut Shop,New American Restaurant,Restaurant,Bagel Shop,Bakery,Park,Outdoor Attractions
105,Bryan College-Dayton,721 Bryan Drive,Dayton,-84.99955200000001,35.497209000000005,63.0,15619.0,902.0,463.0,517.0,652.0,457.0,610.0,21.0,26.0,12.0,51.330376940133036,0,Less Selective/Medium Scores,2,Fast Food Restaurant,Discount Store,Mexican Restaurant,American Restaurant,Pizza Place,Pharmacy,Grocery Store,Gas Station,Sandwich Place,Hardware Store,BBQ Joint,Food,Flower Shop,Gun Range,Coffee Shop,Fast Food
106,Bryn Athyn College of the New Church,801 Tomlinson Rd,Bryn Athyn,-75.060808,40.134392999999996,94.0,18007.0,250.0,222.0,498.0,613.0,498.0,590.0,21.0,28.0,6.0,88.8,1,Least Selective/Lower Scores,0,Convenience Store,Ice Cream Shop,Sushi Restaurant,Bakery,Deli / Bodega,Brewery,Chinese Restaurant,Sandwich Place,Park,Liquor Store,Beer Garden,Frozen Yogurt Shop,Golf Course,Thai Restaurant,Pizza Place,Coffee and Casual
107,Bucknell University,One Dent Drive,Lewisburg,-76.882616,40.954316999999996,54.0,36305.0,10144.0,3352.0,620.0,690.0,630.0,730.0,28.0,32.0,9.0,33.04416403785489,3,Most Selective/Highest Scores,1,American Restaurant,Pizza Place,Bar,Sandwich Place,Antique Shop,Italian Restaurant,Grocery Store,Coffee Shop,Park,Ice Cream Shop,Pharmacy,Liquor Store,Fast Food Restaurant,Farmers Market,College Bookstore,Outdoor Attractions
